Game ID,League,Comeback Team (CBT),Opponent Team (OPP),Game Date,Media Outlet,URL of Article,Headline,Author Written,Player Quotes,Coach Quotes,C- ATT. Ind. Resilience,O- ATT. Ind. Resilience,C- ATT. Self-Efficacy,O- ATT. Self-Efficacy,C- ATT. Team Efficacy/Cohesion,O- ATT. Team Efficacy/Cohesion,C- ATT. Verbal Persuasion,O- ATT. Verbal Persuasion,C- ATT. Emotional Reg.,O- ATT. Emotional Reg.,C- AFT. Momentum Lang.,O- AFT. Momentum Lang.,C- AFT. Draining Lang,O- AFT. Draining Lang,C- AFT. Perf. Outcome Lang.,O- AFT. Perf. Outcome Lang.,C- Gendered Lang.,O- Gendered Lang.
nba_05,NBA,LA Clippers,Cleveland Cavaliers,04-07-2024,NYT Athletic,[https://www.nytimes.com/athletic/5398243/2024/04/07/clippers-comeback-cavaliers-paul-george/](https://www.nytimes.com/athletic/5398243/2024/04/07/clippers-comeback-cavaliers-paul-george/),Clippers complete their largest comeback of NBA season as Paul George carries LA late vs. Cavaliers,22,12,8,4,0,2,0,10,0,3,1,1,0,3,1,0,3,14,7,0,0
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,The Kings Herald,https://kingsherald.com/articles/kings-117-hawks-110-swipa-the-game/,"Kings 117, Hawks 110: Swipa The Game",27,0,0,3,0,0,0,4,0,1,0,0,0,5,1,1,1,19,0,0,0
nba_06,NBA,Portland Trail Blazers,Washington Wizards,02-03-2023,Blazers Edge,https://www.blazersedge.com/2023/2/3/23585311/portland-trail-blazers-washington-wizards-final-score-stats-boxscore-simons-lillard-beal-porzingis,Anfernee Simons Threes Launch Trail Blazers Comeback Over Wizards,54,0,0,14,2,0,0,6,1,1,1,1,0,6,5,0,1,23,11,0,0
nba_04,NBA,Atlanta Hawks,Minnesota Timberwolves,10-30-2023,Canis Hoopus,https://www.canishoopus.com/game-recaps/2023/10/30/23939430/wolves-vs-hawks-final-score-recap-nba-dejounte-murray-anthony-edwards-rudy-gobert-chris-finch,"Hawks 127, Wolves 113: A Brutal Meltdown in Atlanta",27,0,0,2,0,0,0,0,2,0,0,0,1,4,4,0,6,2,15,0,0
nba_06,NBA,Portland Trail Blazers,Washington Wizards,02-03-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401468942,Blazers rally from 20 down to end Wizards' win streak,25,1,4,3,0,0,0,7,0,2,0,0,0,6,1,0,0,18,7,0,0
nba_04,NBA,Atlanta Hawks,Minnesota Timberwolves,10-30-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401584732,"Dejounte Murray ties career high with 41 points, rallies Hawks past Timberwolves 127-113",21,1,3,9,0,1,0,6,0,2,0,0,0,7,1,0,1,10,8,0,0
nba_03,NBA,Toronto Raptors,Washington Wizards,11-13-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401584817,"Siakam scores season-high 39, Raptors overcome 23-point deficit to beat Wizards",22,2,1,6,0,0,0,6,0,0,0,0,0,6,1,0,3,14,8,0,0
nba_02,NBA,Memphis Grizzlies,New Orleans Pelicans,12-19-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401584988,"Ja Morant scores 34 in return from ban, hits game-winner at horn to lift Grizzlies over Pelicans",22,9,5,15,0,2,1,2,2,4,2,1,0,1,2,0,2,11,9,0,0
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,19,3,4,7,0,2,0,7,2,0,0,2,0,4,2,0,3,10,9,0,0
nba_05,NBA,Los Angeles Clippers,Cleveland Cavaliers,04-07-2024,ESPN,https://www.espn.com/nba/recap/_/gameId/401585760,George scores 39 points and leads late revival as Clippers beat Cavaliers 120-118 for 50th win,27,9,2,7,0,0,0,11,2,1,0,0,0,5,2,0,1,13,15,0,0
