Game_Date,Home_Team,Away_Team,Halftime_Score_Home,Halftime_Score_Away,Final_Score_Home,Final_Score_Away,Game_URL
"7:30 PM, October 24, 2023",DEN,LAL,61,46,119,32,https://www.basketball-reference.com/boxscores/202310240DEN.html
"10:00 PM, October 24, 2023",GSW,PHO,61,47,104,18,https://www.basketball-reference.com/boxscores/202310240GSW.html
"7:30 PM, October 25, 2023",BRK,CLE,50,64,113,26,https://www.basketball-reference.com/boxscores/202310250BRK.html
"8:00 PM, October 25, 2023",CHI,OKC,61,63,104,22,https://www.basketball-reference.com/boxscores/202310250CHI.html
"7:00 PM, October 25, 2023",CHO,ATL,60,50,116,38,https://www.basketball-reference.com/boxscores/202310250CHO.html
"7:00 PM, October 25, 2023",IND,WAS,53,67,143,33,https://www.basketball-reference.com/boxscores/202310250IND.html
"10:30 PM, October 25, 2023",LAC,POR,65,46,123,24,https://www.basketball-reference.com/boxscores/202310250LAC.html
"8:00 PM, October 25, 2023",MEM,NOP,61,50,104,34,https://www.basketball-reference.com/boxscores/202310250MEM.html
"7:30 PM, October 25, 2023",MIA,DET,45,57,103,20,https://www.basketball-reference.com/boxscores/202310250MIA.html
"7:00 PM, October 25, 2023",NYK,BOS,47,61,104,31,https://www.basketball-reference.com/boxscores/202310250NYK.html
"7:00 PM, October 25, 2023",ORL,HOU,40,46,116,29,https://www.basketball-reference.com/boxscores/202310250ORL.html
"9:30 PM, October 25, 2023",SAS,DAL,58,68,119,28,https://www.basketball-reference.com/boxscores/202310250SAS.html
"7:30 PM, October 25, 2023",TOR,MIN,46,48,97,24,https://www.basketball-reference.com/boxscores/202310250TOR.html
"9:00 PM, October 25, 2023",UTA,SAC,65,65,114,27,https://www.basketball-reference.com/boxscores/202310250UTA.html
"10:00 PM, October 26, 2023",LAL,PHO,33,62,100,28,https://www.basketball-reference.com/boxscores/202310260LAL.html
"7:30 PM, October 26, 2023",MIL,PHI,63,54,118,30,https://www.basketball-reference.com/boxscores/202310260MIL.html
"7:30 PM, October 27, 2023",ATL,NYK,60,66,120,28,https://www.basketball-reference.com/boxscores/202310270ATL.html
"7:30 PM, October 27, 2023",BOS,MIA,50,61,119,32,https://www.basketball-reference.com/boxscores/202310270BOS.html
"8:00 PM, October 27, 2023",CHI,TOR,42,51,104,11,https://www.basketball-reference.com/boxscores/202310270CHI.html
"7:00 PM, October 27, 2023",CHO,DET,50,61,99,24,https://www.basketball-reference.com/boxscores/202310270CHO.html
"7:30 PM, October 27, 2023",CLE,OKC,50,58,105,30,https://www.basketball-reference.com/boxscores/202310270CLE.html
"8:30 PM, October 27, 2023",DAL,BRK,65,55,125,37,https://www.basketball-reference.com/boxscores/202310270DAL.html
"7:00 PM, October 27, 2023",MEM,DEN,55,53,104,25,https://www.basketball-reference.com/boxscores/202310270MEM.html
"10:00 PM, October 27, 2023",POR,ORL,52,50,97,17,https://www.basketball-reference.com/boxscores/202310270POR.html
"10:00 PM, October 27, 2023",SAC,GSW,59,63,114,30,https://www.basketball-reference.com/boxscores/202310270SAC.html
