Game_Date,Home_Team,Away_Team,Halftime_Score_Home,Halftime_Score_Away,Final_Score_Home,Final_Score_Away,Game_URL
2024,Connecticut Sun,Indiana Fever,49,39,92,71,https://www.basketball-reference.com/wnba/boxscores/202405140CON.html
2024,Las Vegas Aces,Phoenix Mercury,42,41,89,80,https://www.basketball-reference.com/wnba/boxscores/202405140LVA.html
2024,Seattle Storm,Minnesota Lynx,44,45,70,83,https://www.basketball-reference.com/wnba/boxscores/202405140SEA.html
2024,Washington Mystics,New York Liberty,43,40,80,85,https://www.basketball-reference.com/wnba/boxscores/202405140WAS.html
2024,Dallas Wings,Chicago Sky,40,43,87,79,https://www.basketball-reference.com/wnba/boxscores/202405150DAL.html
2024,Los Angeles Sparks,Atlanta Dream,48,48,81,92,https://www.basketball-reference.com/wnba/boxscores/202405150LAS.html
2024,Indiana Fever,New York Liberty,31,48,66,102,https://www.basketball-reference.com/wnba/boxscores/202405160IND.html
2024,Connecticut Sun,Washington Mystics,36,36,84,77,https://www.basketball-reference.com/wnba/boxscores/202405170CON.html
2024,Minnesota Lynx,Seattle Storm,44,37,102,93,https://www.basketball-reference.com/wnba/boxscores/202405170MIN.html
2024,Dallas Wings,Chicago Sky,42,30,74,83,https://www.basketball-reference.com/wnba/boxscores/202405180DAL.html
2024,Las Vegas Aces,Los Angeles Sparks,42,33,89,82,https://www.basketball-reference.com/wnba/boxscores/202405180LVA.html
2024,New York Liberty,Indiana Fever,57,37,91,80,https://www.basketball-reference.com/wnba/boxscores/202405180NYL.html
2024,Phoenix Mercury,Atlanta Dream,43,37,88,85,https://www.basketball-reference.com/wnba/boxscores/202405180PHO.html
2024,Washington Mystics,Seattle Storm,34,39,75,84,https://www.basketball-reference.com/wnba/boxscores/202405190WAS.html
2024,Indiana Fever,Connecticut Sun,44,41,84,88,https://www.basketball-reference.com/wnba/boxscores/202405200IND.html
2024,New York Liberty,Seattle Storm,36,24,74,63,https://www.basketball-reference.com/wnba/boxscores/202405200NYL.html
2024,Atlanta Dream,Dallas Wings,40,48,83,78,https://www.basketball-reference.com/wnba/boxscores/202405210ATL.html
2024,Los Angeles Sparks,Washington Mystics,32,36,70,68,https://www.basketball-reference.com/wnba/boxscores/202405210LAS.html
