Game ID,League,Comeback Team (CBT),Opponent Team (OPP),Game Date,Media Outlet,URL of Article,Headline,Snippet Text,Snippet Type,ATT. Ind. Resillence,ATT. Self-Efficacy,ATT. Team Efficacy/Cohesion,ATT. Verbal Persuasion,ATT. Emotional Reg.,AFT. Momentum Lang.,AFT. Draining Lang,AFT. Perf. Outcome Lang.,Gendered Lang.
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82","Copper, Williams help Chicago rally from 19-down to beat New York 86-82",headline,C,,C,,,C,,C,
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82","NEW YORK -- — Kahleah Copper scored 27 points and Courtney Williams added 12, including 10 in the fourth quarter, to help the Chicago Sky rally to beat the New York Liberty 86-82 on Sunday...",authorwritten,C,,C,,,C,,C,
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82","The teams played Friday night in Chicago, with the Liberty rallying for a one-point win on a shot by Breanna Stewart with 7.1 seconds left.",authorwritten,,,,,,,,O,
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82","In this game, it was the Sky's turn to rally.",authorwritten,,,C,,,C,,,
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82","Down by 19 early in the third quarter, the Sky (4-3) pulled ahead for the first time in the game on Williams' jumper with 4:24 left that made it 72-70.",authorwritten,C,,,,,C,,C,
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82","A few seconds later, Williams drew an offensive foul on Stewart... the spirited guard playfully bowed to the crowd, drawing loud boos.",authorwritten,C,,,,,,,C,
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82","“Got to have fun with it,”",playerquote,,,,,C,,,,
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82",“They were booing me.,playerquote,,,,,,,,,
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82","Stewart then scored the next six points for New York, tying the game at 76 with just over two minutes left.",authorwritten,O,,,,,,,O,
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82",Williams answered with a 3-pointer with 1:42 left.,authorwritten,C,,,,,,,C,
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82",Courtney Vandersloot's layup with 59 seconds left got New York within 80-78.,authorwritten,,,,,,,,O,
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82",Williams was then fouled and hit the first of two free throws to make it a three-point game.,authorwritten,,,,,,,,C,
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82","After a timeout, Sabrina Ionescu was charged with an offensive foul with 27 seconds left on the inbounds.",authorwritten,,,,,,,,O,
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82",Chicago then hit four free throws in the final 17 seconds to seal the win.,authorwritten,,,,,,,,C,
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82",It was the second consecutive year that Chicago pulled off a monumental comeback.,authorwritten,,,C,,,C,,C,
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82","Last season, the Sky rallied from 28 points down to beat the Aces, setting a WNBA record.",authorwritten,,,C,,,C,,C,
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82","Stewart had 20 points and 11 rebounds to lead New York, which saw its four-game winning streak snapped.",authorwritten,,,,,,,,O,
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82",New York tried to carry the momentum from Friday into this game.,authorwritten,,,,,,O,,,
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82",The Liberty scored the first 13 points and built a 17-point halftime lead before Chicago rallied.,authorwritten,,,,,,O,,O,
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82",Some players need to wake up a little bit more.,coachquote,,,,O,,,,,
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82","We went away from what worked for us,”",coachquote,,,,,,,,O,
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82",“Our shot profile was terrible.,coachquote,,,,,,,,O,
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82",We don’t find ways to get (Breanna Stewart) touches.,coachquote,,,O,,,,,,
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82",We just didn’t play tough enough.,coachquote,,,,,,,O,,
wnba_02,WNBA,Las Vegas Aces,Chicago Sky,08-24-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507329,Three Aces secure double-doubles as Las Vegas rallies to defeat the Sky 94-87,Three Aces secure double-doubles as Las Vegas rallies to defeat the Sky 94-87,headline,,,C,,,C,,C,
wnba_02,WNBA,Las Vegas Aces,Chicago Sky,08-24-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507329,Three Aces secure double-doubles as Las Vegas rallies to defeat the Sky 94-87,"CHICAGO -- — Jackie Young had 24 points and 10 rebounds, Chelsea Gray and A'ja Wilson each added a double-double and the Las Vegas Aces erased a 13-point halftime deficit to defeat the Chicago Sky 94-87 on Thursday night.",authorwritten,,,C,,,C,,C,
